"","ideology","norm_news","norm_branches","norm_officials","norm_facts","egal_equalop","egal_worryless","egal_notbigprob","egal_fewerprobs","moraltrad_adjmoral","moraltrad_moretrad","auth_childind","auth_childcur","auth_childobed","auth_childconsid","education","sex","interest","econ_perc","age"
"1479",2,5,4,4,3,2,4,5,1,5,3,1,1,2,1,"Less than high school","Male","Very much interested","Somewhat better off","50-64"
"1480",6,3,5,5,4,1,3,3,2,5,1,2,1,1,1,"Less than high school","Female","Somewhat interested","Much better off","30-49"
"1481",5,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Female","Very much interested","About the same","18-29"
"1482",6,5,4,4,5,1,1,5,2,2,1,2,2,1,2,"Less than high school","Male","Somewhat interested","About the same","65+"
"1483",7,5,5,5,5,5,2,3,4,5,1,2,2,1,1,"Less than high school","Male","Very much interested","Much better off","30-49"
"1484",7,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Female","Somewhat interested","Somewhat worse off","50-64"
"1485",6,5,5,5,5,2,1,1,2,1,1,2,2,1,2,"Less than high school","Male","Somewhat interested","About the same","65+"
"1486",NA,5,5,4,3,1,3,2,1,1,2,1,1,2,1,"Less than high school","Male","Somewhat interested","Much better off","30-49"
"1487",NA,4,4,4,4,1,5,5,1,5,5,1,1,2,1,"Less than high school","Female","Very much interested","About the same","50-64"
"1488",2,3,5,5,5,1,4,5,2,3,3,1,1,2,1,"Less than high school","Female","Somewhat interested","About the same","30-49"
"1489",4,3,3,4,3,2,2,3,3,4,2,1,2,1,2,"Less than high school","Female","Somewhat interested","Somewhat better off","65+"
"1490",3,5,5,5,5,1,1,4,2,2,2,NA,1,2,1,"Less than high school","Male","Very much interested","About the same","65+"
"1491",3,5,5,5,4,3,4,5,1,1,4,1,1,2,1,"Less than high school","Male","Very much interested","Much better off","18-29"
"1492",1,5,4,5,5,1,3,5,1,3,4,2,1,2,1,"Less than high school","Male","Somewhat interested","About the same","30-49"
"1493",4,5,5,5,3,1,5,5,1,4,1,2,2,1,2,"Less than high school","Female","Very much interested","Much worse off","50-64"
"1494",7,4,4,5,5,5,1,1,5,5,1,2,2,2,2,"Less than high school","Male","Very much interested","Somewhat better off","30-49"
"1495",3,5,5,5,5,1,5,5,1,1,5,1,1,2,1,"Less than high school","Female","Very much interested","About the same","30-49"
"1496",6,4,4,4,4,2,2,3,4,5,1,1,1,2,1,"Less than high school","Female","Somewhat interested","About the same","30-49"
"1497",7,1,5,5,3,2,3,3,3,5,1,2,2,2,1,"Less than high school","Male","Very much interested","About the same","30-49"
"1498",4,4,3,4,5,3,2,2,5,4,2,2,1,2,1,"Less than high school","Female","Somewhat interested","About the same","50-64"
